track,stem,metric,value
clip02,vocals,sir,125.01604754706338
clip02,vocals,sar,125.01604754706338
clip02,vocals,isr,125.01604754706338
clip02,vocals,nsdr,125.01604754706338
clip03,bass,sdr,123.43215905993338
clip03,bass,sir,123.43215905993338
clip03,bass,sar,123.43215905993338
clip03,bass,isr,123.43215905993338
clip03,bass,nsdr,123.43215905993338
clip03,drums,sdr,123.43214503806794
clip03,drums,sir,123.43214503806794
clip03,drums,sar,123.43214503806794
clip03,drums,isr,123.43214503806794
clip03,drums,nsdr,123.43214503806794
clip03,guitar,sdr,123.43214503806794
clip03,guitar,sir,123.43214503806794
clip03,guitar,sar,123.43214503806794
clip03,guitar,isr,123.43214503806794
clip03,guitar,nsdr,123.43214503806794
clip03,keys,sdr,123.43214503806794
clip03,keys,sir,123.43214503806794
clip03,keys,sar,123.43214503806794
clip03,keys,isr,123.43214503806794
clip03,keys,nsdr,123.43214503806794
clip03,other,sdr,123.43215905993338
clip03,other,sir,123.43215905993338
clip03,other,sar,123.43215905993338
clip03,other,isr,123.43215905993338
clip03,other,nsdr,123.43215905993338
clip03,piano,sdr,123.43213372241397
clip03,piano,sir,123.43213372241397
clip03,piano,sar,123.43213372241397
clip03,piano,isr,123.43213372241397
clip03,piano,nsdr,123.43213372241397
clip03,strings,sdr,123.43213372241397
clip03,strings,sir,123.43213372241397
clip03,strings,sar,123.43213372241397
clip03,strings,isr,123.43213372241397
clip03,strings,nsdr,123.43213372241397
clip03,vocals,sdr,123.43213372241397
clip03,vocals,sir,123.43213372241397
clip03,vocals,sar,123.43213372241397
clip03,vocals,isr,123.43213372241397
clip03,vocals,nsdr,123.43213372241397
clip04,bass,sdr,124.26016067957525
clip04,bass,sir,124.26016067957525
clip04,bass,sar,124.26016067957525
clip04,bass,isr,124.26016067957525
clip04,bass,nsdr,124.26016067957525
clip04,drums,sdr,124.26016845591717
clip04,drums,sir,124.26016845591717
clip04,drums,sar,124.26016845591717
clip04,drums,isr,124.26016845591717
clip04,drums,nsdr,124.26016845591717
clip04,guitar,sdr,124.26016845591717
clip04,guitar,sir,124.26016845591717
clip04,guitar,sar,124.26016845591717
clip04,guitar,isr,124.26016845591717
clip04,guitar,nsdr,124.26016845591717
clip04,keys,sdr,124.26014710291324
clip04,keys,sir,124.26014710291324
clip04,keys,sar,124.26014710291324
clip04,keys,isr,124.26014710291324
clip04,keys,nsdr,124.26014710291324
clip04,other,sdr,124.26016067957525
clip04,other,sir,124.26016067957525
clip04,other,sar,124.26016067957525
clip04,other,isr,124.26016067957525
clip04,other,nsdr,124.26016067957525
clip04,piano,sdr,124.26016067957525
clip04,piano,sir,124.26016067957525
clip04,piano,sar,124.26016067957525
clip04,piano,isr,124.26016067957525
clip04,piano,nsdr,124.26016067957525
clip04,strings,sdr,124.26016067957525
clip04,strings,sir,124.26016067957525
clip04,strings,sar,124.26016067957525
clip04,strings,isr,124.26016067957525
clip04,strings,nsdr,124.26016067957525
clip04,vocals,sdr,124.26016067957525
clip04,vocals,sir,124.26016067957525
clip04,vocals,sar,124.26016067957525
clip04,vocals,isr,124.26016067957525
clip04,vocals,nsdr,124.26016067957525
clip05,bass,sdr,125.01609312346241
clip05,bass,sir,125.01609312346241
clip05,bass,sar,125.01609312346241
clip05,bass,isr,125.01609312346241
clip05,bass,nsdr,125.01609312346241
clip05,drums,sdr,125.0160802427167
clip05,drums,sir,125.0160802427167
clip05,drums,sar,125.0160802427167
clip05,drums,isr,125.0160802427167
clip05,drums,nsdr,125.0160802427167
clip05,guitar,sdr,125.01601877090876
clip05,guitar,sir,125.01601877090876
clip05,guitar,sar,125.01601877090876
clip05,guitar,isr,125.01601877090876
clip05,guitar,nsdr,125.01601877090876
clip05,keys,sdr,125.01603974992975
clip05,keys,sir,125.01603974992975
clip05,keys,sar,125.01603974992975
clip05,keys,isr,125.01603974992975
clip05,keys,nsdr,125.01603974992975
clip05,other,sdr,125.01604853792625
clip05,other,sir,125.01604853792625
clip05,other,sar,125.01604853792625
clip05,other,isr,125.01604853792625
clip05,other,nsdr,125.01604853792625
clip05,piano,sdr,125.01604853792625
clip05,piano,sir,125.01604853792625
clip05,piano,sar,125.01604853792625
clip05,piano,isr,125.01604853792625
clip05,piano,nsdr,125.01604853792625
clip05,strings,sdr,125.01604853792625
clip05,strings,sir,125.01604853792625
clip05,strings,sar,125.01604853792625
clip05,strings,isr,125.01604853792625
clip05,strings,nsdr,125.01604853792625
clip05,vocals,sdr,125.01613572802796
clip05,vocals,sir,125.01613572802796
clip05,vocals,sar,125.01613572802796
clip05,vocals,isr,125.01613572802796
clip05,vocals,nsdr,125.01613572802796
